subj_idx,Participant Private ID,age_corrected,age_group,gender,worksit,education,edu_group,ideology,ideology_num,partisanship,conservative_rating,labour_rating,libdem_rating,green_rating,reform_rating,questionnaire_attention_check,attention_start,attention_end,crt_correct,dogmatism,affective_polarisation,m_climate,m_immigration,m_punishment,m_teaculture,m_brain,m_gender,m_discrimination,m_adoption,m_selfenhancement,m_cats,s_climate,s_immigration,s_punishment,s_teaculture,s_brain,s_gender,s_discrimination,s_adoption,s_selfenhancement,s_cats,ideo_group,ideo_strength,ideo_m_climate,ideo_m_adoption,ideo_m_punishment,ideo_m_gender,ideo_m_discrimination,ideo_m_immigration,ideo_m_teaculture,ideo_m_brain,ideo_m_cats,self_m_enhancement
279,11694528,18,18-24,male,Unemployed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Liberal Democrat,1,5,20,10,0,passed,Yes,Yes,2,29,7.3047929470998705,Higher,Neutral,Neutral,Neutral,Neutral,Neutral,Lower,Lower,Lower,Neutral,2,,,,,,1,1,1,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
285,11694535,25,25-31,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Labour,0,100,48,58,35,passed,Yes,Yes,0,14,32.486304806795125,Higher,Lower,Higher,Higher,Neutral,Neutral,Lower,Lower,Higher,Lower,1,2,2,1,,,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
35,11694537,32,Above 32,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,SNP,0,15,20,50,0,passed,Yes,Yes,0,14,18.33030277982336,Higher,Lower,Lower,Neutral,Higher,Higher,Lower,Lower,Higher,Lower,2,1,1,,1,2,2,2,1,2,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
281,11694539,29,25-31,male,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Left,2,Labour,0,80,40,60,0,passed,Yes,Yes,3,27,32,Higher,Lower,Lower,Neutral,Higher,Higher,Lower,Lower,Higher,Lower,2,2,2,,1,2,2,2,1,2,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
41,11694541,38,Above 32,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Liberal Democrat,10,50,60,40,5,passed,Yes,Yes,3,26,21.817424229271428,Higher,Lower,Neutral,Neutral,Higher,Higher,Neutral,Neutral,Lower,Neutral,2,1,,,1,1,,,2,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
39,11694542,20,18-24,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Green,35,65,70,90,5,passed,Yes,Yes,2,21,29.765752132274432,Higher,Neutral,Higher,Lower,Higher,Higher,Lower,Neutral,Higher,Lower,1,,1,1,1,1,1,,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
283,11694546,18,18-24,female,Unemployed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Liberal Democrat,51,57,84,77,7,passed,Yes,Yes,3,19,27.014070407844873,Higher,Lower,Neutral,Higher,Neutral,Higher,Lower,Lower,Lower,Lower,2,1,,1,,2,1,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
49,11694550,19,18-24,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Green,27,61,50,85,0,passed,Yes,Yes,2,22,29.08332855778375,Higher,Lower,Neutral,Higher,Lower,Higher,Lower,Lower,Lower,Higher,2,1,,1,1,2,1,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
44,11694551,24,18-24,female,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Green,0,92,8,99,0,passed,Yes,Yes,1,19,45.62630820042314,Higher,Lower,Neutral,Higher,Higher,Higher,Lower,Lower,Higher,Higher,2,2,,1,1,1,1,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
282,11694552,24,18-24,female,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Left,2,Labour,9,69,48,93,0,passed,Yes,Yes,0,23,35.22158429145401,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Lower,Lower,2,2,1,1,1,2,2,1,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
40,11694553,33,Above 32,female,Employed,Secondary school up to 16 years (GCSEs or equivalent),ISCED 0-2,Left,2,Labour,18,78,51,59,29,passed,Yes,No,3,32,21.382235617446554,Neutral,Higher,Higher,Higher,Higher,Neutral,Lower,Neutral,Higher,Lower,,1,1,1,1,,1,,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
292,11694554,33,Above 32,male,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Slightly right,5,Conservative,60,50,40,60,30,passed,Yes,Yes,3,23,11.661903789690601,Neutral,Neutral,Higher,Higher,Higher,Lower,Neutral,Higher,Neutral,Lower,,,1,1,1,1,,1,,1,Right,1,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
286,11694555,24,18-24,female,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Left,2,Liberal Democrat,0,71,100,100,0,passed,Yes,Yes,1,18,45.50340646589,Higher,Lower,Higher,Higher,Neutral,Higher,Lower,Lower,Higher,Higher,2,2,2,2,,2,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
369,11694556,20,18-24,female,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Green,6,68,78,93,0,passed,Yes,Yes,3,18,38.439562952770416,Higher,Lower,Lower,Lower,Higher,Higher,Lower,Lower,Neutral,Neutral,2,1,2,1,1,2,2,2,,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
51,11694561,35,Above 32,female,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Left,2,Green,10,75,50,90,0,passed,Yes,Yes,0,18,35.21363372331802,Higher,Lower,Lower,Neutral,Higher,Higher,Lower,Lower,Lower,Higher,2,1,1,,1,2,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
145,11694567,34,Above 32,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Slightly left,3,Labour,25,74,42,71,0,passed,Yes,Yes,1,25,27.989998213647674,Higher,Lower,Lower,Neutral,Higher,Higher,Lower,Lower,Lower,Lower,1,1,1,,1,1,1,2,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
290,11694569,26,25-31,female,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Left,2,Labour,11,80,80,100,0,passed,Yes,Yes,2,16,40.57782645731533,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,2,1,1,1,2,2,1,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
293,11694572,30,25-31,male,__other,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Extremely left,1,__other,0,46,50,74,0,passed,Yes,Yes,1,21,29.366647748764244,Higher,Lower,Lower,Neutral,Neutral,Higher,Lower,Lower,Lower,Higher,1,2,2,,,2,1,2,2,1,Left,3,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
47,11694574,27,25-31,male,Unemployed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Right,6,Conservative,100,0,9,0,29,passed,Yes,Yes,1,21,37.71790025969103,Higher,Lower,Lower,Higher,Neutral,Higher,Neutral,Lower,Higher,Lower,1,1,1,1,,2,,2,1,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
52,11694579,33,Above 32,female,Working in the household,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Right,6,Conservative,62,1,15,1,50,passed,Yes,Yes,2,19,25.4668411861385,Neutral,Higher,Higher,Higher,Higher,Higher,Neutral,Lower,Neutral,Lower,,1,1,1,1,1,,2,,2,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
296,11694580,32,Above 32,male,Unemployed,Secondary school up to 16 years (GCSEs or equivalent),ISCED 0-2,Slightly left,3,Labour,0,90,50,50,0,passed,Yes,Yes,0,20,34.292856398964496,Neutral,Higher,Higher,Higher,Higher,Higher,Lower,Lower,Lower,Higher,,1,1,2,1,2,1,2,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
48,11694581,36,Above 32,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Slightly right,5,Conservative,57,56,39,31,0,passed,Yes,Yes,2,24,20.828826179120128,Higher,Neutral,Higher,Lower,Higher,Higher,Lower,Lower,Higher,Higher,1,,1,1,1,2,1,1,1,1,Right,1,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
303,11694585,19,18-24,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly right,5,Labour,63,41,47,66,50,passed,Yes,Yes,0,25,9.562426470305537,Higher,Neutral,Higher,Higher,Neutral,Neutral,Lower,Higher,Lower,Higher,2,,2,1,,,1,1,1,1,Right,1,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
294,11694586,28,25-31,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Plaid Cymru,0,80,49,90,1,passed,Yes,Yes,3,21,38.005262793460595,Higher,Lower,Neutral,Higher,Higher,Lower,Lower,Lower,Lower,Neutral,1,1,,1,1,1,2,2,1,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
79,11694587,31,25-31,male,Unemployed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly right,5,Reform UK,10,7,10,11,100,passed,Yes,Yes,1,25,36.224853346839105,Higher,Higher,Higher,Higher,Higher,Neutral,Neutral,Lower,Neutral,Neutral,1,2,1,2,1,,,1,,,Right,1,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
304,11694588,24,18-24,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Slightly right,5,Conservative,53,36,26,8,44,passed,Yes,Yes,3,23,15.512575543732254,Higher,Neutral,Higher,Higher,Higher,Lower,Higher,Lower,Lower,Lower,1,,1,2,1,1,1,1,1,1,Right,1,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
62,11694592,40,Above 32,male,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Extremely right,7,Reform UK,8,0,28,1,100,passed,Yes,Yes,3,36,37.67014733180638,Lower,Higher,Higher,Neutral,Higher,Lower,Higher,Higher,Lower,Higher,1,2,2,,2,1,2,2,1,1,Right,3,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
297,11694597,18,18-24,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Labour,45,65,55,60,40,passed,Yes,Yes,3,24,9.273618495495704,Neutral,Neutral,Neutral,Neutral,Neutral,Higher,Lower,Lower,Lower,Lower,,,,,,1,1,1,1,2,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
54,11694606,27,25-31,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Extremely left,1,Green,0,80,5,100,0,passed,Yes,Yes,0,18,43.77213725647858,Higher,Lower,Lower,Higher,Neutral,Higher,Lower,Lower,Neutral,Lower,2,1,1,2,,1,2,2,,1,Left,3,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
366,11694609,26,25-31,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Right,6,Reform UK,23,38,18,4,91,passed,Yes,Yes,3,31,30.129055743584132,Higher,Higher,Higher,Higher,Higher,Higher,Lower,Lower,Higher,Lower,1,2,2,2,1,1,1,2,2,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
60,11694618,29,25-31,female,Unemployed,Secondary school up to 16 years (GCSEs or equivalent),ISCED 0-2,Left,2,Labour,0,60,30,45,0,passed,Yes,Yes,0,28,24,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Lower,Lower,1,1,1,1,1,1,1,1,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
57,11694623,22,18-24,female,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Labour,13,70,60,97,1,passed,Yes,Yes,3,18,35.9521904756859,Higher,Lower,Lower,Higher,Neutral,Higher,Lower,Lower,Higher,Lower,2,2,1,2,,2,2,1,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
58,11694625,28,25-31,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Green,20,53,53,68,13,passed,Yes,Yes,3,19,21.17167919651155,Higher,Lower,Neutral,Neutral,Lower,Higher,Lower,Lower,Higher,Lower,2,1,,,2,2,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
312,11694630,22,18-24,male,Employed,Secondary school up to 16 years (GCSEs or equivalent),ISCED 0-2,Slightly right,5,Reform UK,70,10,8,10,90,passed,Yes,Yes,1,23,35.2,Higher,Neutral,Higher,Higher,Higher,Higher,Higher,Lower,Higher,Lower,2,,2,2,2,1,1,2,2,2,Right,1,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
70,11694631,32,Above 32,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Liberal Democrat,10,75,85,68,10,passed,Yes,Yes,2,21,32.781702213277455,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Neutral,Lower,1,1,1,2,1,1,1,2,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
299,11694632,23,18-24,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Labour,10,80,30,90,0,passed,Yes,Yes,2,22,36.55133376499413,Higher,Lower,Higher,Higher,Neutral,Higher,Lower,Lower,Lower,Lower,2,1,1,2,,2,1,2,2,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
301,11694633,18,18-24,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Liberal Democrat,11,40,77,57,0,passed,Yes,Yes,3,17,28.474550040343043,Higher,Lower,Higher,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,1,1,2,1,1,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
329,11694635,25,25-31,male,Employed,Secondary school up to 16 years (GCSEs or equivalent),ISCED 0-2,Left,2,Liberal Democrat,0,58,86,66,0,passed,Yes,Yes,0,21,35.485208185947,Higher,Lower,Higher,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,2,2,2,1,2,1,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
330,11694636,32,Above 32,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,__other,10,50,50,50,4,passed,Yes,Yes,3,25,21.15088650624366,Higher,Higher,Higher,Higher,Higher,Neutral,Lower,Lower,Neutral,Lower,1,1,1,1,1,,1,1,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
64,11694638,30,25-31,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Liberal Democrat,23,36,90,69,14,passed,Yes,Yes,1,15,28.695644268773613,Higher,Lower,Higher,Neutral,Higher,Higher,Lower,Lower,Lower,Higher,2,1,2,,2,2,2,2,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
308,11694650,28,25-31,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,__other,20,70,63,70,0,passed,Yes,Yes,3,16,29.062690859588347,Higher,Lower,Lower,Neutral,Higher,Higher,Lower,Lower,Neutral,Neutral,2,1,1,,2,2,1,2,,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
318,11694653,30,25-31,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Slightly left,3,Liberal Democrat,20,55,80,75,30,passed,Yes,Yes,3,23,23.790754506740637,Higher,Neutral,Lower,Higher,Higher,Neutral,Lower,Lower,Higher,Lower,1,,1,1,1,,1,1,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
67,11694655,21,18-24,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Reform UK,19,34,47,62,83,passed,Yes,Yes,1,27,22.154006409676782,Higher,Lower,Higher,Neutral,Lower,Higher,Lower,Lower,Higher,Higher,1,1,1,,1,1,1,1,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
72,11694656,26,25-31,male,Unemployed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Labour,38,91,58,73,47,passed,Yes,Yes,0,20,18.853116453255147,Higher,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Lower,Lower,2,1,2,2,2,1,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
103,11694657,24,18-24,male,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Left,2,Liberal Democrat,16,32,90,96,0,passed,Yes,Yes,3,25,39.1019181115198,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Higher,2,2,1,1,1,1,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
310,11694659,30,25-31,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Labour,30,60,40,60,30,passed,Yes,Yes,2,23,13.564659966250536,Higher,Higher,Neutral,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,1,,1,1,1,1,1,1,2,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
363,11694661,36,Above 32,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Right,6,Conservative,43,2,31,65,83,passed,Yes,Yes,3,32,27.90268804255246,Higher,Higher,Higher,Higher,Higher,Neutral,Lower,Higher,Neutral,Lower,1,2,1,2,2,,1,1,,2,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
65,11694663,20,18-24,female,At university,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Green,8,44,53,72,0,passed,Yes,Yes,0,23,27.302747114530433,Higher,Higher,Higher,Higher,Higher,Higher,Lower,Neutral,Lower,Higher,2,2,1,2,2,2,1,,2,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
90,11694672,31,25-31,female,Self-employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Labour,1,50,45,45,35,passed,Yes,Yes,3,25,17.780888616714297,Neutral,Neutral,Neutral,Neutral,Neutral,Higher,Lower,Neutral,Neutral,Neutral,,,,,,2,1,,,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
403,11694674,31,25-31,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Slightly left,3,Labour,10,74,61,54,0,passed,Yes,Yes,3,20,29.301194514899898,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,1,1,2,1,1,1,2,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
322,11694675,36,Above 32,male,Self-employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Labour,1,91,18,70,0,passed,Yes,Yes,0,28,37.48599738569057,Higher,Neutral,Higher,Higher,Higher,Neutral,Lower,Neutral,Neutral,Neutral,2,,1,1,1,,1,,,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
85,11694676,25,25-31,male,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Left,2,Labour,5,70,60,50,0,passed,Yes,Yes,3,20,28.91366458960192,Higher,Neutral,Lower,Neutral,Higher,Higher,Lower,Lower,Higher,Neutral,2,,2,,1,1,1,2,1,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
88,11694678,33,Above 32,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Moderate,4,__other,9,32,25,29,67,passed,Yes,Yes,0,20,19.03260360539251,Higher,Neutral,Higher,Higher,Neutral,Higher,Higher,Lower,Lower,Neutral,1,,1,1,,1,1,2,1,,Moderate,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Higher
77,11694679,32,Above 32,male,Unemployed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly right,5,Reform UK,30,30,15,5,70,passed,Yes,Yes,1,24,22.135943621178654,Neutral,Higher,Higher,Higher,Higher,Higher,Lower,Lower,Neutral,Lower,,1,1,2,1,1,1,1,,1,Right,1,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
313,11694681,29,25-31,male,At university,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Left,2,Labour,10,75,72,65,0,passed,Yes,Yes,3,18,32.48753607154596,Higher,Lower,Lower,Neutral,Neutral,Higher,Lower,Lower,Lower,Neutral,2,1,1,,,2,1,2,2,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
316,11694682,31,25-31,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Labour,0,71,27,70,0,passed,Yes,Yes,0,25,31.702365842315302,Higher,Higher,Higher,Higher,Neutral,Higher,Lower,Neutral,Neutral,Lower,1,1,1,1,,2,1,,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
327,11694685,23,18-24,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Slightly right,5,__other,26,27,66,14,68,passed,Yes,Yes,3,18,22.36425719759098,Higher,Higher,Higher,Neutral,Neutral,Higher,Higher,Lower,Higher,Higher,2,1,1,,,2,1,2,1,1,Right,1,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
320,11694686,34,Above 32,female,Self-employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Left,2,Labour,29,77,68,65,0,passed,Yes,Yes,2,21,28.964806231010765,Higher,Lower,Lower,Higher,Higher,Higher,Neutral,Lower,Neutral,Neutral,2,2,1,1,1,2,,2,,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
314,11694688,38,Above 32,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Slightly left,3,Labour,5,65,15,65,0,passed,Yes,Yes,3,18,28.982753492378876,Higher,Lower,Lower,Neutral,Neutral,Higher,Lower,Neutral,Lower,Higher,2,2,1,,,1,2,,2,2,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
315,11694689,19,18-24,female,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Liberal Democrat,0,53,89,87,0,passed,Yes,Yes,2,16,39.5241698205035,Higher,Lower,Lower,Neutral,Neutral,Higher,Lower,Lower,Higher,Neutral,2,2,2,,,2,2,1,1,,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
317,11694690,31,25-31,female,Employed,Secondary school up to 16 years (GCSEs or equivalent),ISCED 0-2,Moderate,4,Labour,19,47,28,47,15,passed,Yes,Yes,0,30,13.5705563629499,Higher,Neutral,Higher,Higher,Neutral,Higher,Lower,Lower,Lower,Higher,1,,2,2,,1,2,1,1,2,Moderate,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Higher
99,11694694,33,Above 32,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,SNP,0,35,20,50,0,passed,Yes,Yes,2,18,19.595917942265423,Lower,Lower,Higher,Higher,Neutral,Lower,Lower,Higher,Higher,Higher,1,1,2,1,,1,2,2,1,2,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
117,11694695,37,Above 32,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Labour,6,79,63,60,1,passed,Yes,Yes,2,23,31.971237073344533,Higher,Higher,Lower,Higher,Higher,Higher,Lower,Lower,Neutral,Higher,2,1,1,1,2,2,1,2,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
323,11694697,18,18-24,female,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Liberal Democrat,20,52,72,62,0,passed,Yes,Yes,0,20,26.99925924909793,Higher,Lower,Neutral,Higher,Higher,Higher,Lower,Lower,Neutral,Lower,1,1,,2,1,2,1,2,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
95,11694698,31,25-31,female,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Labour,7,83,49,92,7,passed,Yes,Yes,3,18,36.11980066390179,Higher,Neutral,Higher,Higher,Neutral,Higher,Lower,Lower,Neutral,Lower,2,,1,2,,1,2,2,,2,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
